Project Count,Program,City,County,Low Income Units*
1,CDLAP,SeaTac,King,3
1,CDLAP,Seattle,King ,3
1,CDLAP,Seattle,King,3
1,CDLAP,Seattle,King,3
1,CDLAP,Seattle,King,3
1,CDLAP,Seattle,King,3
1,ELAP,Renton,King,2
1,ELAP,Kirkland,King,2
1,ELAP,Bellevue,King,2
1,ELAP,Kirkland,King,2
1,ELAP,Kenmore,King,2
1,LAP,Richland,Benton,1
1,LAP,Vancouver,Clark,1
1,LAP,Seattle,King,1
1,LAP,Port Townsend,Jefferson,1
1,LAP,Seattle,King,1
1,LAP,Seattle,King,1
1,LAP,Tukwila,King,1
1,LAP,Shoreline,King,1
1,LAP,Prosser,Benton,1
1,LAP,Mattawa,Grant,1
1,LAP,Mattawa,Grant,1
1,LAP,Bellingham,Whatcom,1
1,LAP,Seattle,King,1
1,LAP,Spokane,Spokane,1
1,LAP,Spokane,Spokane,1
1,LAP,Pasco,Franklin,1
1,LAP,Seattle,King,1
1,LAP,Walla Walla,Walla Walla,1
1,LAP,Carson,Skamania,1
1,LAP,Spokane,Spokane,1
1,LAP,Spokane,Spokane,1
1,LAP,SeaTac,King,1
1,LAP,Federal Way,King,1
1,LAP,Vancouver,Clark,1
1,LAP,Olympia,Thurston,1
1,LAP,Bremerton,Kitsap,1
1,LAP,Seattle,King,1
1,LAP,Port Townsend,Jefferson,1
1,LAP,Port Orchard,Kitsap,1
1,LAP,Kittitas,Kittitas,1
1,LAP,Everett,Snohomish,1
1,LAP,Tacoma,Pierce,1
1,LAP,Tacoma,Pierce,1
1,LAP,Tacoma,Pierce,1
1,LAP,Wenatchee,Chelan,1
1,LAP,Renton,King,1
1,LAP,Cle Elum,Kittitas,1
1,LAP,Bellevue,King,1
1,LAP,Olympia,Thurston,1
1,LAP,Tukwila,King,1
1,LAP,Entiat,Chelan,1
1,LAP,Ellensburg,Kittitas,1
1,LAP,Cle Elum,Kittitas,1
1,LAP,Mt. Vernon,Skagit,1
1,LAP,Monroe,Snohomish,1
1,LAP,Marysville,Snohomish,1
1,LAP,Longview,Cowlitz,1
1,LAP,Longview,Cowlitz,1
1,LAP,Tacoma,Pierce,1
1,LAP,Seattle,King,1
1,LAP,Yakima ,Yakima,1
1,LAP,Kelso,Cowlitz,1
1,LAP,Kennewick,Benton,1
1,LAP,Bellingham,Whatcom,1
1,LAP,Seattle,King,1
1,LAP,Seattle,King,1
1,LAP,Tacoma,Pierce,1
1,LAP,Seattle,King,1
1,LAP,Seattle,King,1
1,LAP,Omak,Okanogan,1
1,LAP,Eastsound,San Juan,1
1,LAP,Eastsound,San Juan,1
1,LAP,Othello,Adams,1
1,LAP,Graham,Pierce,1
1,LAP,Port Angeles,Clallam,1
1,LAP,Friday Harbor,San Juan,1
1,LAP,Seattle,King,1
1,LAP,Bellingham,Whatcom,1
1,LAP,Mountlake Terrace,Snohomish,1
1,LAP,Yelm,Thurston,1
1,LAP,Spokane Valley,Spokane,1
1,LAP,Spokane,Spokane,1
1,LAP,Spokane,Spokane,1
1,LAP,Bremerton,Kitsap,1
1,LAP,Tacoma,Pierce,1
1,LAP,Tacoma,Pierce,1
1,LAP,Abderdeen,Grays Harbor,1
1,LAP,Seattle,King,1
1,LAP,Vancouver,Clark,1
1,LAP,Battleground,Clark,1
1,LAP,Vancouver,Clark,1
1,LAP,Spanaway,Pierce,1
1,LAP,Spanaway,Pierce,1
1,LAP,Walla Walla,Walla Walla,1
1,LAP,Walla Walla,Walla Walla,1
1,LAP,Walla Walla,Walla Walla,1
1,LAP,Walla Walla,Walla Walla,1
1,LAP,Walla Walla,Walla Walla,1
1,LAP,Dallasport,Klickitat,1
1,LAP,Yakima ,Yakima,1
1,LAP,Yakima ,Yakima,1
1,State LAP,Everett,Snohomish,4
1,State LAP,Winthrop,Okanogan,4
1,State LAP,Everett,Snohomish,4
1,State LAP,Eastsound,San Juan,4
1,State LAP,Seattle,King,4
